"GISJOIN","YEAR","REGIONA","DIVISIONA","STATE","STATEA","COUNTY","COUNTYA","COUSUBA","PLACEA","TRACTA","BLKGRPA","CONCITA","AIANHHA","RES_ONLYA","TRUSTA","AITSCEA","ANRCA","CBSAA","CSAA","METDIVA","NECTAA","CNECTAA","NECTADIVA","UAA","CDCURRA","SLDUA","SLDLA","SUBMCDA","SDELMA","SDSECA","SDUNIA","PUMA5A","BTTRA","BTBGA","NAME_E","JOIE001","NAME_M","JOIM001"
"G0100010","2006-2010",NA,NA,"Alabama",1,"Autauga",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Autauga County, Alabama",53255,"Autauga County, Alabama",2420
"G0100030","2006-2010",NA,NA,"Alabama",1,"Baldwin",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baldwin County, Alabama",50147,"Baldwin County, Alabama",1046
"G0100050","2006-2010",NA,NA,"Alabama",1,"Barbour",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barbour County, Alabama",33219,"Barbour County, Alabama",1889
"G0100070","2006-2010",NA,NA,"Alabama",1,"Bibb",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bibb County, Alabama",41770,"Bibb County, Alabama",3139
"G0100090","2006-2010",NA,NA,"Alabama",1,"Blount",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Blount County, Alabama",45549,"Blount County, Alabama",1804
"G0100110","2006-2010",NA,NA,"Alabama",1,"Bullock",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bullock County, Alabama",31602,"Bullock County, Alabama",6819
"G0100130","2006-2010",NA,NA,"Alabama",1,"Butler",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Butler County, Alabama",30659,"Butler County, Alabama",2487
"G0100150","2006-2010",NA,NA,"Alabama",1,"Calhoun",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calhoun County, Alabama",38407,"Calhoun County, Alabama",1406
"G0100170","2006-2010",NA,NA,"Alabama",1,"Chambers",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chambers County, Alabama",31467,"Chambers County, Alabama",1300
"G0100190","2006-2010",NA,NA,"Alabama",1,"Cherokee",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cherokee County, Alabama",40690,"Cherokee County, Alabama",2546
"G0100210","2006-2010",NA,NA,"Alabama",1,"Chilton",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chilton County, Alabama",39486,"Chilton County, Alabama",2707
"G0100230","2006-2010",NA,NA,"Alabama",1,"Choctaw",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Choctaw County, Alabama",31076,"Choctaw County, Alabama",3328
"G0100250","2006-2010",NA,NA,"Alabama",1,"Clarke",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clarke County, Alabama",27439,"Clarke County, Alabama",1684
"G0100270","2006-2010",NA,NA,"Alabama",1,"Clay",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clay County, Alabama",35595,"Clay County, Alabama",5045
"G0100290","2006-2010",NA,NA,"Alabama",1,"Cleburne",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cleburne County, Alabama",36077,"Cleburne County, Alabama",3003
"G0100310","2006-2010",NA,NA,"Alabama",1,"Coffee",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coffee County, Alabama",42253,"Coffee County, Alabama",2075
"G0100330","2006-2010",NA,NA,"Alabama",1,"Colbert",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colbert County, Alabama",39610,"Colbert County, Alabama",1384
"G0100350","2006-2010",NA,NA,"Alabama",1,"Conecuh",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conecuh County, Alabama",26944,"Conecuh County, Alabama",4076
"G0100370","2006-2010",NA,NA,"Alabama",1,"Coosa",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coosa County, Alabama",35560,"Coosa County, Alabama",3142
"G0100390","2006-2010",NA,NA,"Alabama",1,"Covington",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Covington County, Alabama",33852,"Covington County, Alabama",1905
"G0100410","2006-2010",NA,NA,"Alabama",1,"Crenshaw",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crenshaw County, Alabama",35140,"Crenshaw County, Alabama",4391
"G0100430","2006-2010",NA,NA,"Alabama",1,"Cullman",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cullman County, Alabama",38567,"Cullman County, Alabama",1371
"G0100450","2006-2010",NA,NA,"Alabama",1,"Dale",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dale County, Alabama",43353,"Dale County, Alabama",1353
"G0100470","2006-2010",NA,NA,"Alabama",1,"Dallas",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dallas County, Alabama",26029,"Dallas County, Alabama",1633
"G0100490","2006-2010",NA,NA,"Alabama",1,"DeKalb",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DeKalb County, Alabama",35065,"DeKalb County, Alabama",1772
"G0100510","2006-2010",NA,NA,"Alabama",1,"Elmore",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elmore County, Alabama",53128,"Elmore County, Alabama",1566
"G0100530","2006-2010",NA,NA,"Alabama",1,"Escambia",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Escambia County, Alabama",31927,"Escambia County, Alabama",1940
"G0100550","2006-2010",NA,NA,"Alabama",1,"Etowah",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Etowah County, Alabama",36422,"Etowah County, Alabama",1183
"G0100570","2006-2010",NA,NA,"Alabama",1,"Fayette",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fayette County, Alabama",34560,"Fayette County, Alabama",3096
"G0100590","2006-2010",NA,NA,"Alabama",1,"Franklin",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franklin County, Alabama",33942,"Franklin County, Alabama",1927
"G0100610","2006-2010",NA,NA,"Alabama",1,"Geneva",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geneva County, Alabama",34140,"Geneva County, Alabama",3406
"G0100630","2006-2010",NA,NA,"Alabama",1,"Greene",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Greene County, Alabama",22222,"Greene County, Alabama",3461
"G0100650","2006-2010",NA,NA,"Alabama",1,"Hale",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hale County, Alabama",29299,"Hale County, Alabama",2201
"G0100670","2006-2010",NA,NA,"Alabama",1,"Henry",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Henry County, Alabama",38379,"Henry County, Alabama",2649
"G0100690","2006-2010",NA,NA,"Alabama",1,"Houston",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Houston County, Alabama",41022,"Houston County, Alabama",896
"G0100710","2006-2010",NA,NA,"Alabama",1,"Jackson",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jackson County, Alabama",36312,"Jackson County, Alabama",2091
"G0100730","2006-2010",NA,NA,"Alabama",1,"Jefferson",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jefferson County, Alabama",45244,"Jefferson County, Alabama",641
"G0100750","2006-2010",NA,NA,"Alabama",1,"Lamar",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lamar County, Alabama",33887,"Lamar County, Alabama",3605
"G0100770","2006-2010",NA,NA,"Alabama",1,"Lauderdale",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lauderdale County, Alabama",39345,"Lauderdale County, Alabama",1339
"G0100790","2006-2010",NA,NA,"Alabama",1,"Lawrence",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lawrence County, Alabama",40516,"Lawrence County, Alabama",2726
"G0100810","2006-2010",NA,NA,"Alabama",1,"Lee",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lee County, Alabama",40894,"Lee County, Alabama",1162
"G0100830","2006-2010",NA,NA,"Alabama",1,"Limestone",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Limestone County, Alabama",46682,"Limestone County, Alabama",1483
"G0100850","2006-2010",NA,NA,"Alabama",1,"Lowndes",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowndes County, Alabama",29714,"Lowndes County, Alabama",2660
"G0100870","2006-2010",NA,NA,"Alabama",1,"Macon",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macon County, Alabama",27544,"Macon County, Alabama",2346
"G0100890","2006-2010",NA,NA,"Alabama",1,"Madison",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Madison County, Alabama",55851,"Madison County, Alabama",962
"G0100910","2006-2010",NA,NA,"Alabama",1,"Marengo",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marengo County, Alabama",32940,"Marengo County, Alabama",2549
"G0100930","2006-2010",NA,NA,"Alabama",1,"Marion",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marion County, Alabama",32769,"Marion County, Alabama",1838
"G0100950","2006-2010",NA,NA,"Alabama",1,"Marshall",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Marshall County, Alabama",37661,"Marshall County, Alabama",1509
"G0100970","2006-2010",NA,NA,"Alabama",1,"Mobile",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mobile County, Alabama",40996,"Mobile County, Alabama",723
"G0100990","2006-2010",NA,NA,"Alabama",1,"Monroe",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monroe County, Alabama",30235,"Monroe County, Alabama",2027
"G0101010","2006-2010",NA,NA,"Alabama",1,"Montgomery",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montgomery County, Alabama",43725,"Montgomery County, Alabama",1042
"G0101030","2006-2010",NA,NA,"Alabama",1,"Morgan",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Morgan County, Alabama",44349,"Morgan County, Alabama",1300
"G0101050","2006-2010",NA,NA,"Alabama",1,"Perry",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Perry County, Alabama",25950,"Perry County, Alabama",4653
"G0101070","2006-2010",NA,NA,"Alabama",1,"Pickens",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pickens County, Alabama",28280,"Pickens County, Alabama",2732
"G0101090","2006-2010",NA,NA,"Alabama",1,"Pike",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pike County, Alabama",29181,"Pike County, Alabama",2285
"G0101110","2006-2010",NA,NA,"Alabama",1,"Randolph",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Randolph County, Alabama",34593,"Randolph County, Alabama",4078
"G0101130","2006-2010",NA,NA,"Alabama",1,"Russell",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Russell County, Alabama",32481,"Russell County, Alabama",1546
"G0101150","2006-2010",NA,NA,"Alabama",1,"St. Clair",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"St. Clair County, Alabama",48837,"St. Clair County, Alabama",2778
"G0101170","2006-2010",NA,NA,"Alabama",1,"Shelby",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shelby County, Alabama",68380,"Shelby County, Alabama",1579
"G0101190","2006-2010",NA,NA,"Alabama",1,"Sumter",119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sumter County, Alabama",25338,"Sumter County, Alabama",3336
"G0101210","2006-2010",NA,NA,"Alabama",1,"Talladega",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Talladega County, Alabama",36948,"Talladega County, Alabama",1331
"G0101230","2006-2010",NA,NA,"Alabama",1,"Tallapoosa",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tallapoosa County, Alabama",36904,"Tallapoosa County, Alabama",3149
"G0101250","2006-2010",NA,NA,"Alabama",1,"Tuscaloosa",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuscaloosa County, Alabama",42311,"Tuscaloosa County, Alabama",1213
"G0101270","2006-2010",NA,NA,"Alabama",1,"Walker",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Walker County, Alabama",37191,"Walker County, Alabama",1751
"G0101290","2006-2010",NA,NA,"Alabama",1,"Washington",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington County, Alabama",36431,"Washington County, Alabama",4979
"G0101310","2006-2010",NA,NA,"Alabama",1,"Wilcox",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wilcox County, Alabama",23491,"Wilcox County, Alabama",1720
"G0101330","2006-2010",NA,NA,"Alabama",1,"Winston",133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Winston County, Alabama",33685,"Winston County, Alabama",3118
"G0200130","2006-2010",NA,NA,"Alaska",2,"Aleutians East",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aleutians East Borough, Alaska",54375,"Aleutians East Borough, Alaska",9723
"G0200160","2006-2010",NA,NA,"Alaska",2,"Aleutians West Census",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aleutians West Census Area, Alaska",72917,"Aleutians West Census Area, Alaska",10789
"G0200200","2006-2010",NA,NA,"Alaska",2,"Anchorage",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anchorage Municipality, Alaska",73004,"Anchorage Municipality, Alaska",1134
"G0200500","2006-2010",NA,NA,"Alaska",2,"Bethel Census",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bethel Census Area, Alaska",52214,"Bethel Census Area, Alaska",3425
"G0200600","2006-2010",NA,NA,"Alaska",2,"Bristol Bay",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bristol Bay Borough, Alaska",84000,"Bristol Bay Borough, Alaska",19933
"G0200680","2006-2010",NA,NA,"Alaska",2,"Denali",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Denali Borough, Alaska",72500,"Denali Borough, Alaska",11296
"G0200700","2006-2010",NA,NA,"Alaska",2,"Dillingham Census",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dillingham Census Area, Alaska",60800,"Dillingham Census Area, Alaska",5002
"G0200900","2006-2010",NA,NA,"Alaska",2,"Fairbanks North Star",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fairbanks North Star Borough, Alaska",66598,"Fairbanks North Star Borough, Alaska",2379
"G0201000","2006-2010",NA,NA,"Alaska",2,"Haines",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haines Borough, Alaska",47981,"Haines Borough, Alaska",5863
"G0201050","2006-2010",NA,NA,"Alaska",2,"Hoonah-Angoon Census",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hoonah-Angoon Census Area, Alaska",43750,"Hoonah-Angoon Census Area, Alaska",6825
"G0201100","2006-2010",NA,NA,"Alaska",2,"Juneau City and",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juneau City and Borough, Alaska",75517,"Juneau City and Borough, Alaska",5319
"G0201220","2006-2010",NA,NA,"Alaska",2,"Kenai Peninsula",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kenai Peninsula Borough, Alaska",57454,"Kenai Peninsula Borough, Alaska",2633
"G0201300","2006-2010",NA,NA,"Alaska",2,"Ketchikan Gateway",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ketchikan Gateway Borough, Alaska",61695,"Ketchikan Gateway Borough, Alaska",5224
"G0201500","2006-2010",NA,NA,"Alaska",2,"Kodiak Island",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kodiak Island Borough, Alaska",60776,"Kodiak Island Borough, Alaska",7958
"G0201640","2006-2010",NA,NA,"Alaska",2,"Lake and Peninsula",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake and Peninsula Borough, Alaska",40909,"Lake and Peninsula Borough, Alaska",9912
"G0201700","2006-2010",NA,NA,"Alaska",2,"Matanuska-Susitna",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Matanuska-Susitna Borough, Alaska",67703,"Matanuska-Susitna Borough, Alaska",1956
"G0201800","2006-2010",NA,NA,"Alaska",2,"Nome Census",180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nome Census Area, Alaska",53899,"Nome Census Area, Alaska",5457
"G0201850","2006-2010",NA,NA,"Alaska",2,"North Slope",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Slope Borough, Alaska",68517,"North Slope Borough, Alaska",6005
"G0201880","2006-2010",NA,NA,"Alaska",2,"Northwest Arctic",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northwest Arctic Borough, Alaska",55217,"Northwest Arctic Borough, Alaska",3990
"G0201950","2006-2010",NA,NA,"Alaska",2,"Petersburg Census",195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Petersburg Census Area, Alaska",62317,"Petersburg Census Area, Alaska",8919
"G0201980","2006-2010",NA,NA,"Alaska",2,"Prince of Wales-Hyder Census",198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prince of Wales-Hyder Census Area, Alaska",45728,"Prince of Wales-Hyder Census Area, Alaska",2840
"G0202200","2006-2010",NA,NA,"Alaska",2,"Sitka City and",220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sitka City and Borough, Alaska",62024,"Sitka City and Borough, Alaska",3816
"G0202300","2006-2010",NA,NA,"Alaska",2,"Skagway",230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skagway Municipality, Alaska",73500,"Skagway Municipality, Alaska",10180
"G0202400","2006-2010",NA,NA,"Alaska",2,"Southeast Fairbanks Census",240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southeast Fairbanks Census Area, Alaska",59596,"Southeast Fairbanks Census Area, Alaska",7072
"G0202610","2006-2010",NA,NA,"Alaska",2,"Valdez-Cordova Census",261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Valdez-Cordova Census Area, Alaska",60383,"Valdez-Cordova Census Area, Alaska",7783
