"","GEOID","NAME","variable","value"
"136","08063","Kit Carson County, Colorado","P002001",8270
"137","08065","Lake County, Colorado","P002001",7310
"138","08071","Las Animas County, Colorado","P002001",15507
"139","08067","La Plata County, Colorado","P002001",51334
"140","08087","Morgan County, Colorado","P002001",28159
"141","08073","Lincoln County, Colorado","P002001",5467
"142","08075","Logan County, Colorado","P002001",22709
"143","08077","Mesa County, Colorado","P002001",146723
"144","08079","Mineral County, Colorado","P002001",712
"145","08081","Moffat County, Colorado","P002001",13795
"146","08083","Montezuma County, Colorado","P002001",25535
"147","08085","Montrose County, Colorado","P002001",41276
"148","08099","Prowers County, Colorado","P002001",12551
"149","08089","Otero County, Colorado","P002001",18831
"150","08091","Ouray County, Colorado","P002001",4436
"151","08093","Park County, Colorado","P002001",16206
"152","08095","Phillips County, Colorado","P002001",4442
"153","08097","Pitkin County, Colorado","P002001",17148
"154","08111","San Juan County, Colorado","P002001",699
"155","08107","Routt County, Colorado","P002001",23509
"156","08109","Saguache County, Colorado","P002001",6108
"157","08101","Pueblo County, Colorado","P002001",159063
"158","08103","Rio Blanco County, Colorado","P002001",6666
"159","08105","Rio Grande County, Colorado","P002001",11982
"160","09001","Fairfield County, Connecticut","P002001",916829
"161","08113","San Miguel County, Colorado","P002001",7359
"162","08115","Sedgwick County, Colorado","P002001",2379
"163","08117","Summit County, Colorado","P002001",27994
"164","08119","Teller County, Colorado","P002001",23350
"165","08121","Washington County, Colorado","P002001",4814
"166","08123","Weld County, Colorado","P002001",252825
"167","08125","Yuma County, Colorado","P002001",10043
"168","09005","Litchfield County, Connecticut","P002001",189927
"169","09003","Hartford County, Connecticut","P002001",894014
"170","09007","Middlesex County, Connecticut","P002001",165676
"171","09015","Windham County, Connecticut","P002001",118428
"172","10001","Kent County, Delaware","P002001",162310
"173","09009","New Haven County, Connecticut","P002001",862477
"174","09011","New London County, Connecticut","P002001",274055
"175","09013","Tolland County, Connecticut","P002001",152691
"176","10005","Sussex County, Delaware","P002001",197145
"177","11001","District of Columbia, District of Columbia","P002001",601723
"178","10003","New Castle County, Delaware","P002001",538479
"179","12009","Brevard County, Florida","P002001",543376
"180","12015","Charlotte County, Florida","P002001",159978
"181","12001","Alachua County, Florida","P002001",247336
